UserID,Date ,PriceID
836,27/11/2020,4
4542,27/11/2020,1
4542,27/11/2020,1
4542,27/11/2020,1
8838,27/11/2020,1
8838,27/11/2020,3
21632,27/11/2020,2
21632,27/11/2020,2
26432,27/11/2020,1
28101,27/11/2020,1
28101,27/11/2020,1
48885,27/11/2020,1
67515,27/11/2020,1
67515,27/11/2020,1
68723,27/11/2020,2
83804,27/11/2020,1
105047,27/11/2020,4
113626,27/11/2020,1
113626,27/11/2020,4
134621,27/11/2020,2
134621,27/11/2020,2
136768,27/11/2020,1
136768,27/11/2020,1
136768,27/11/2020,1
152211,27/11/2020,2
152221,27/11/2020,2
163986,27/11/2020,3
180486,27/11/2020,3
180683,27/11/2020,1
180683,27/11/2020,1
191673,27/11/2020,2
191673,27/11/2020,2
191673,27/11/2020,2
216617,27/11/2020,1
229926,27/11/2020,1
229926,27/11/2020,1
229926,27/11/2020,1
267818,27/11/2020,3
282641,27/11/2020,4
282641,27/11/2020,4
282820,27/11/2020,1
282820,27/11/2020,1
297550,27/11/2020,1
301750,27/11/2020,3
301750,27/11/2020,3
319590,27/11/2020,2
319590,27/11/2020,2
329525,27/11/2020,1
329525,27/11/2020,1
329525,27/11/2020,2
337501,27/11/2020,1
337501,27/11/2020,1
347504,27/11/2020,2
347504,27/11/2020,2
347504,27/11/2020,2
352226,27/11/2020,3
362362,27/11/2020,3
370438,27/11/2020,1
370709,27/11/2020,3
395734,27/11/2020,4
397320,27/11/2020,1
397393,27/11/2020,1
397393,27/11/2020,1
399511,27/11/2020,2
403555,27/11/2020,3
403555,27/11/2020,4
407792,27/11/2020,2
407792,27/11/2020,2
433340,27/11/2020,1
446534,27/11/2020,3
465919,27/11/2020,2
465919,27/11/2020,2
470302,27/11/2020,4
479275,27/11/2020,1
479275,27/11/2020,1
497604,27/11/2020,1
497604,27/11/2020,1
497604,27/11/2020,1
516552,27/11/2020,2
529318,27/11/2020,2
558080,27/11/2020,3
558080,27/11/2020,3
573301,27/11/2020,2
573301,27/11/2020,2
589438,27/11/2020,1
589438,27/11/2020,1
594908,27/11/2020,1
610513,27/11/2020,2
623999,27/11/2020,2
634587,27/11/2020,5
649528,27/11/2020,2
666347,27/11/2020,2
666347,27/11/2020,5
666347,27/11/2020,5
681065,27/11/2020,2
689713,27/11/2020,4
690110,27/11/2020,2
696524,27/11/2020,3
696524,27/11/2020,3
696850,27/11/2020,2
708934,27/11/2020,3
732877,27/11/2020,1
732877,27/11/2020,1
745155,27/11/2020,5
754390,27/11/2020,3
767146,27/11/2020,4
767146,27/11/2020,4
776472,27/11/2020,2
778086,27/11/2020,5
778086,27/11/2020,5
781852,27/11/2020,2
783185,27/11/2020,2
783185,27/11/2020,5
783979,27/11/2020,2
788765,27/11/2020,1
788765,27/11/2020,1
788765,27/11/2020,1
797632,27/11/2020,3
812119,27/11/2020,4
812119,27/11/2020,4
812933,27/11/2020,5
825513,27/11/2020,1
825513,27/11/2020,1
825513,27/11/2020,1
849184,27/11/2020,1
849184,27/11/2020,1
866608,27/11/2020,2
891178,27/11/2020,2
900242,27/11/2020,1
903514,27/11/2020,2
903514,27/11/2020,2
903796,27/11/2020,2
906100,27/11/2020,5
908878,27/11/2020,1
909006,27/11/2020,5
910613,27/11/2020,1
920734,27/11/2020,1
928939,27/11/2020,5
935775,27/11/2020,1
952986,27/11/2020,4
958934,27/11/2020,5
958934,27/11/2020,5
971251,27/11/2020,2
983935,27/11/2020,1
984746,27/11/2020,4
986034,27/11/2020,1
987810,27/11/2020,1
987810,27/11/2020,1
836,28/11/2020,1
836,28/11/2020,3
836,28/11/2020,3
4542,28/11/2020,2
8838,28/11/2020,3
26432,28/11/2020,1
48885,28/11/2020,1
48885,28/11/2020,1
67515,28/11/2020,2
68723,28/11/2020,1
68723,28/11/2020,5
83804,28/11/2020,1
83804,28/11/2020,1
103300,28/11/2020,1
105047,28/11/2020,5
105047,28/11/2020,5
113626,28/11/2020,1
134621,28/11/2020,1
134621,28/11/2020,1
136768,28/11/2020,2
152211,28/11/2020,2
152221,28/11/2020,2
152221,28/11/2020,2
152221,28/11/2020,2
163986,28/11/2020,1
169198,28/11/2020,2
169198,28/11/2020,2
169198,28/11/2020,2
180486,28/11/2020,4
191673,28/11/2020,2
191673,28/11/2020,2
200690,28/11/2020,4
200690,28/11/2020,4
201945,28/11/2020,1
201945,28/11/2020,1
201945,28/11/2020,1
218352,28/11/2020,3
218352,28/11/2020,3
229926,28/11/2020,3
242823,28/11/2020,1
257802,28/11/2020,1
282641,28/11/2020,2
282820,28/11/2020,2
297550,28/11/2020,1
297550,28/11/2020,1
301750,28/11/2020,1
301750,28/11/2020,2
304899,28/11/2020,2
329525,28/11/2020,1
329525,28/11/2020,1
329525,28/11/2020,1
337501,28/11/2020,1
337501,28/11/2020,1
347504,28/11/2020,4
362362,28/11/2020,1
362362,28/11/2020,1
366544,28/11/2020,5
370438,28/11/2020,1
395734,28/11/2020,3
397320,28/11/2020,1
397393,28/11/2020,3
397393,28/11/2020,3
399511,28/11/2020,2
399511,28/11/2020,2
399511,28/11/2020,2
403555,28/11/2020,3
419802,28/11/2020,1
419802,28/11/2020,1
433340,28/11/2020,1
446534,28/11/2020,3
470302,28/11/2020,4
470302,28/11/2020,4
477562,28/11/2020,3
497604,28/11/2020,1
497604,28/11/2020,1
497604,28/11/2020,1
511025,28/11/2020,1
516552,28/11/2020,2
529318,28/11/2020,4
546458,28/11/2020,5
558080,28/11/2020,3
573301,28/11/2020,4
